family,base_tpr,aligned_tpr,delta_tpr,base_mean_ai_score,aligned_mean_ai_score,z_stat,p_value
mistral,0.935064935064935,1.0,0.06493506493506496,0.8955844155844159,0.9359999999999999,2.3163952479303522,0.020536697985036767
mpt,0.85,1.0,0.15000000000000002,0.833375,0.9428749999999999,3.6018013511259865,0.00031601981355655617
cohere,0.9625,0.975,0.012499999999999956,0.898875,0.9188749999999999,0.4543694673976502,0.6495629244115464
