num_tokens,num_chars,num_sentences,type_token_ratio,distinct_1gram,distinct_2gram,distinct_3gram,mean_sent_length,std_sent_length,mean_word_length,hapax_ratio,category,alignment
211,1500,6,0.6208530805687204,0.6208530805687204,0.9428571428571428,0.9808612440191388,35.166666666666664,8.193832368854569,5.9052132701421804,0.7709923664122137,human,human
149,1021,10,0.7114093959731543,0.7114093959731543,0.972972972972973,1.0,14.9,5.629387178015028,5.724832214765101,0.8018867924528302,human,human
224,1457,9,0.5491071428571429,0.5491071428571429,0.9282511210762332,0.9864864864864865,24.88888888888889,9.643010646109838,5.428571428571429,0.6422764227642277,human,human
281,1816,14,0.5765124555160143,0.5765124555160143,0.9285714285714286,0.989247311827957,20.071428571428573,12.267636200963235,5.355871886120997,0.6975308641975309,human,human
238,1463,11,0.5126050420168067,0.5126050420168067,0.8860759493670886,0.961864406779661,21.636363636363637,8.657867964224819,5.050420168067227,0.639344262295082,human,human
199,1290,10,0.5879396984924623,0.5879396984924623,0.9191919191919192,0.9796954314720813,19.9,6.847627326307997,5.402010050251256,0.7008547008547008,human,human
208,1522,12,0.5865384615384616,0.5865384615384616,0.8695652173913043,0.9514563106796117,17.333333333333332,7.397447007057382,6.1923076923076925,0.7213114754098361,human,human
161,1067,6,0.6832298136645962,0.6832298136645962,0.975,1.0,26.833333333333332,6.094168432927407,5.521739130434782,0.7545454545454545,human,human
194,1250,9,0.5309278350515464,0.5309278350515464,0.8704663212435233,0.9583333333333334,21.555555555555557,6.308919807368174,5.324742268041237,0.6990291262135923,human,human
251,1599,21,0.6175298804780877,0.6175298804780877,0.964,0.9919678714859438,11.952380952380953,9.89216231586637,5.239043824701195,0.6967741935483871,human,human
188,1293,6,0.7074468085106383,0.7074468085106383,0.983957219251337,0.9946236559139785,31.333333333333332,21.49160042641983,5.723404255319149,0.8270676691729323,human,human
183,1221,10,0.6557377049180327,0.6557377049180327,0.9175824175824175,0.9668508287292817,18.3,8.271033792700887,5.557377049180328,0.7583333333333333,human,human
160,1071,8,0.5625,0.5625,0.9245283018867925,1.0,20.0,4.123105625617661,5.59375,0.6111111111111112,human,human
221,1581,9,0.6470588235294118,0.6470588235294118,0.9590909090909091,0.9863013698630136,24.555555555555557,12.019531430237583,6.018099547511312,0.7482517482517482,human,human
188,1263,9,0.6223404255319149,0.6223404255319149,0.9411764705882353,0.978494623655914,20.88888888888889,6.854754140083192,5.638297872340425,0.7350427350427351,human,human
164,1090,6,0.5853658536585366,0.5853658536585366,0.9079754601226994,0.9814814814814815,27.333333333333332,12.565384549980509,5.548780487804878,0.6770833333333334,human,human
218,1464,10,0.6192660550458715,0.6192660550458715,0.9124423963133641,0.9861111111111112,21.8,10.925200226998129,5.614678899082569,0.7333333333333333,human,human
196,1376,8,0.6989795918367347,0.6989795918367347,0.9743589743589743,0.9948453608247423,24.5,6.224949798994366,5.8979591836734695,0.8321167883211679,human,human
156,1124,9,0.6730769230769231,0.6730769230769231,0.9225806451612903,0.987012987012987,17.333333333333332,7.287737036358482,6.012820512820513,0.7238095238095238,human,human
192,1220,11,0.6927083333333334,0.6927083333333334,0.9685863874345549,1.0,17.454545454545453,11.081217822502726,5.229166666666667,0.7819548872180451,human,human
139,1048,6,0.7913669064748201,0.7913669064748201,0.9927536231884058,1.0,23.166666666666668,12.33445940805226,6.453237410071942,0.8,human,human
235,1598,12,0.6595744680851063,0.6595744680851063,0.9572649572649573,1.0,19.583333333333332,10.93509894280289,5.651063829787234,0.8129032258064516,human,human
188,1185,11,0.6276595744680851,0.6276595744680851,0.9411764705882353,0.989247311827957,17.09090909090909,7.102554539863494,5.223404255319149,0.7711864406779662,human,human
199,1377,8,0.5979899497487438,0.5979899497487438,0.9494949494949495,1.0,24.875,7.201345360417038,5.8040201005025125,0.6974789915966386,human,human
166,1111,8,0.6325301204819277,0.6325301204819277,0.9151515151515152,0.9695121951219512,20.75,3.766629793329841,5.578313253012048,0.7523809523809524,human,human
171,1206,8,0.6491228070175439,0.6491228070175439,0.9411764705882353,0.9822485207100592,21.375,6.040229714174784,5.95906432748538,0.7567567567567568,human,human
187,1260,7,0.679144385026738,0.679144385026738,0.9838709677419355,1.0,26.714285714285715,8.85944670497923,5.652406417112299,0.7795275590551181,human,human
234,1490,11,0.5982905982905983,0.5982905982905983,0.9484978540772532,1.0,21.272727272727273,17.051211149149864,5.243589743589744,0.7285714285714285,human,human
197,1235,8,0.6294416243654822,0.6294416243654822,0.9132653061224489,0.9794871794871794,24.625,10.319126658782709,5.16243654822335,0.7661290322580645,human,human
271,1783,16,0.6014760147601476,0.6014760147601476,0.9259259259259259,0.9814126394052045,16.9375,11.556755329676232,5.450184501845018,0.7361963190184049,human,human
300,1911,12,0.5133333333333333,0.5133333333333333,0.9096989966555183,0.9932885906040269,25.0,11.36515141415488,5.276666666666666,0.6623376623376623,human,human
253,1614,15,0.5889328063241107,0.5889328063241107,0.9285714285714286,0.9721115537848606,16.866666666666667,16.07012410931816,5.229249011857707,0.7248322147651006,human,human
198,1388,9,0.6060606060606061,0.6060606060606061,0.9644670050761421,0.9948979591836735,22.0,7.133644853010899,5.954545454545454,0.725,human,human
185,1205,8,0.5675675675675675,0.5675675675675675,0.8804347826086957,0.9672131147540983,23.125,5.840323193111833,5.454054054054054,0.7047619047619048,human,human
214,1347,15,0.6635514018691588,0.6635514018691588,0.9671361502347418,0.9952830188679245,14.266666666666667,7.995554320301307,5.172897196261682,0.7605633802816901,human,human
